Date and time	IR	RED	Glucose  mg/dL
6/27/2026 22:56:16	111056	99000	105.55
6/27/2026 22:56:20	112758	99706	144.4119048
6/27/2026 22:56:24	113505	99893	188.087619
6/27/2026 22:56:30	111407	99187	103.7525
6/27/2026 22:56:34	110440	98835	92.94
6/27/2026 22:56:37	110369	98753	92.94
6/27/2026 22:56:40	110821	98813	105.59
6/27/2026 22:56:43	108372	97973	338.78
6/27/2026 22:56:47	110322	98594	92.85
6/27/2026 22:56:50	110966	98946	105.59
6/27/2026 22:56:53	110188	98653	111.4725
6/27/2026 22:56:56	108604	98069	184.67
6/27/2026 22:56:59	110167	98732	134.1625
6/27/2026 22:57:03	113832	99882	168.9225
6/27/2026 22:57:07	113938	100019	168.9225
6/27/2026 22:57:11	113931	99651	108.93
6/27/2026 22:57:14	114789	100605	94.19333333
6/27/2026 22:57:17	113202	100000	145.9527381
6/27/2026 22:57:20	112810	99990	114.5430079
6/27/2026 22:57:25	112900	100046	114.5430079
6/27/2026 22:57:28	114175	100511	188.087619
6/27/2026 22:57:32	113760	100568	145.9527381
6/27/2026 22:57:35	112669	100270	94.8635
6/27/2026 22:57:38	112571	100299	104.63
6/27/2026 22:57:41	113430	100549	114.5430079
6/27/2026 22:57:44	112841	100403	94.8635
6/27/2026 22:57:47	114091	100809	145.9527381
6/27/2026 22:57:50	111268	99771	187.7275
6/27/2026 22:57:54	111044	99673	342.97
6/27/2026 22:57:57	110768	99591	281.89
6/27/2026 22:58:00	111878	100029	92.85
6/27/2026 22:58:03	112194	100179	102.7
6/27/2026 22:58:07	111861	99991	92.85
6/27/2026 22:58:10	111948	100043	92.85
6/27/2026 22:58:12	109778	99175	182.26
6/27/2026 22:58:15	112453	100287	105.59
6/27/2026 22:58:18	110069	99432	182.26
6/27/2026 22:58:22	111310	99790	187.7275
6/27/2026 22:58:26	110775	99661	188.15
6/27/2026 22:58:29	113245	100527	98.83354762
6/27/2026 22:58:32	113434	100760	98.83354762
6/27/2026 22:58:34	112941	100608	103.67
6/27/2026 22:58:37	112075	100292	92.94
6/27/2026 22:58:40	111168	99923	320.89
6/27/2026 22:58:43	111133	99851	320.89
6/27/2026 22:58:47	109908	99360	336.16
6/27/2026 22:58:50	111132	99801	324.41
6/27/2026 22:58:53	110518	99522	175.39
6/27/2026 22:58:56	109594	99145	337.43
6/27/2026 22:58:59	109946	99327	182.26
6/27/2026 22:59:02	111712	100010	111.4725
6/27/2026 22:59:06	110327	99510	149.89
6/27/2026 22:59:10	111638	100053	134.1625
6/27/2026 22:59:13	111219	99822	342.97
6/27/2026 22:59:16	111688	99963	96.46
6/27/2026 22:59:19	111653	99937	106.0925
6/27/2026 22:59:22	110412	99597	141.9
6/27/2026 22:59:26	109578	99300	176.58
6/27/2026 22:59:29	110930	99738	281.89
6/27/2026 22:59:32	113356	100603	114.1930079
6/27/2026 22:59:35	114792	101197	159.857619
6/27/2026 22:59:38	116346	101876	111.42
6/27/2026 22:59:41	117398	102171	136.2271429
6/27/2026 22:59:44	115853	101698	168.9225
6/27/2026 22:59:47	114337	101148	144.4119048
6/27/2026 22:59:50	115017	101047	281.7633333
6/27/2026 22:59:53	114538	100906	172.407619
6/27/2026 22:59:56	113784	100614	144.4119048
6/27/2026 22:59:59	113858	100531	180.9527381
6/27/2026 23:00:02	116333	101765	108.93
6/27/2026 23:00:05	116664	102199	107.6333333
